         1437625 function calls (1419330 primitive calls) in 1.605 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.005    0.005 _array_like.py:1(<module>)
      670    0.001    0.000    0.005    0.000 base.py:5437(_can_hold_identifiers_and_holds_name)
       60    0.000    0.000    0.005    0.000 construction.py:742(_get_axes)
       40    0.000    0.000    0.005    0.000 arrayprint.py:550(wrapper)
        1    0.000    0.000    0.005    0.005 ewm.py:1(<module>)
      180    0.002    0.000    0.005    0.000 _function_base_impl.py:5456(insert)
    46838    0.005    0.000    0.005    0.000 fromnumeric.py:2584(_all_dispatcher)
      951    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:632(cached)
       98    0.001    0.000    0.005    0.000 docscrape.py:228(_parse_param_list)
      385    0.002    0.000    0.005    0.000 typing.py:262(_collect_parameters)
      480    0.001    0.000    0.005    0.000 take.py:59(take_nd)
        1    0.000    0.000    0.005    0.005 fromnumeric.py:1(<module>)
       21    0.000    0.000    0.005    0.000 arrayprint.py:605(array2string)
      519    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:615(_get_cached)
      248    0.000    0.000    0.005    0.000 __init__.py:1645(makeRecord)
      368    0.001    0.000    0.005    0.000 frame.py:4608(_box_col_values)
        1    0.000    0.000    0.005    0.005 frame.py:509(DataFrame)
      124    0.001    0.000    0.005    0.000 common.py:97(is_bool_indexer)
5008/4904    0.003    0.000    0.005    0.000 {built-in method __new__ of type object at 0x56085f6dd060}
2912/2792    0.002    0.000    0.004    0.000 {built-in method numpy.asarray}
     1288    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:124(setdefault)
     1039    0.003    0.000    0.004    0.000 generic.py:6236(__finalize__)
      240    0.000    0.000    0.004    0.000 base.py:6394(_should_compare)
       55    0.000    0.000    0.004    0.000 _compiler.py:578(_code)
       21    0.000    0.000    0.004    0.000 arrayprint.py:567(_array2string)
      600    0.002    0.000    0.004    0.000 common.py:231(asarray_tuplesafe)
      248    0.002    0.000    0.004    0.000 __init__.py:298(__init__)
        1    0.000    0.000    0.004    0.004 pydoc.py:1(<module>)
